Project,BugID,Filename,Path,Method name,,Exception,Label,,Unique Exception,,Method name,Filename
Cassandra,CASSANDRA-1019,WrappedRunnable.java,org.apache.cassandra.utils.WrappedRunnable,run,,ConnectException,,,JsonGenerationException,,append,FutureTask.java
Cassandra,CASSANDRA-1019,ThreadPoolExecutor.java,java.util.concurrent.ThreadPoolExecutor$Worker,runTask,,ConnectException,,,ConfigurationException,,append,ByteBufferUtil.java
Cassandra,CASSANDRA-1019,ThreadPoolExecutor.java,java.util.concurrent.ThreadPoolExecutor$Worker,run,,ConnectException,,,AccessDeniedException,,realAppend,CompactionMetadata.java
Cassandra,CASSANDRA-1019,Thread.java,java.lang.Thread,run,,ConnectException,,,FSReadError,,append,MetadataSerializer.java
Cassandra,CASSANDRA-1019,Native Method,sun.nio.ch.Net,connect,,ConnectException,,,UnrecoverableKeyException,,runMayThrow,SSTableReader.java
Cassandra,CASSANDRA-1019,SocketChannelImpl.java,sun.nio.ch.SocketChannelImpl,connect,,ConnectException,,,TTransportException,,executeInternal,SingleThreadEventExecutor.java
Cassandra,CASSANDRA-1019,FileStreamTask.java,org.apache.cassandra.net.FileStreamTask,runMayThrow,,ConnectException,,,InstanceAlreadyExistsException,,execute,Keyspace.java
Cassandra,CASSANDRA-1028,AbstractCollection.java,java.util.AbstractCollection,addAll,,NullPointerException,,,SSLException,,execute,FileUtils.java
Cassandra,CASSANDRA-10739,Clustering.java,org.apache.cassandra.db.Clustering$Serializer,serialize,,AssertionError,,,TException,,call,ApplicationShutdownHooks.java
Cassandra,CASSANDRA-10743,CellPath.java,org.apache.cassandra.db.rows.CellPath$EmptyCellPath,get,,UnsupportedOperationException,,,SocketException,,run,ChannelProxy.java
Cassandra,CASSANDRA-10743,CollectionType.java,org.apache.cassandra.db.marshal.CollectionType$CollectionPathSerializer,serializedSize,,UnsupportedOperationException,,,CorruptSSTableException,,readBytes,RandomAccessReader.java
Cassandra,CASSANDRA-10743,BufferCell.java,org.apache.cassandra.db.rows.BufferCell$Serializer,serializedSize,,UnsupportedOperationException,,,UnavailableException,,deserialize,DataIntegrityMetadata.java
Cassandra,CASSANDRA-10743,UnfilteredSerializer.java,org.apache.cassandra.db.rows.UnfilteredSerializer,sizeOfComplexColumn,,UnsupportedOperationException,,,NoClassDefFoundError,,deserialize,DataIntegrityMetadata.java
Cassandra,CASSANDRA-10743,UnfilteredSerializer.java,org.apache.cassandra.db.rows.UnfilteredSerializer,serializedRowBodySize,,UnsupportedOperationException,,,SigarException,,getApproximateKeyCount,Verifier.java
Cassandra,CASSANDRA-10743,UnfilteredSerializer.java,org.apache.cassandra.db.rows.UnfilteredSerializer,serialize,,UnsupportedOperationException,,,BufferUnderflowException,,<init>,StandaloneVerifier.java
Cassandra,CASSANDRA-10743,ColumnIndex.java,org.apache.cassandra.db.ColumnIndex$Builder,add,,UnsupportedOperationException,,,NodetoolError,,<init>,UnixException.java
Cassandra,CASSANDRA-10743,ColumnIndex.java,org.apache.cassandra.db.ColumnIndex$Builder,build,,UnsupportedOperationException,,,BufferOverflowException,,getCompactionAwareWriter,UnixFileSystemProvider.java
Cassandra,CASSANDRA-10743,ColumnIndex.java,org.apache.cassandra.db.ColumnIndex,writeAndBuildIndex,,UnsupportedOperationException,,,MarshalException,,reject,FileChannel.java
Cassandra,CASSANDRA-10743,BigTableWriter.java,org.apache.cassandra.io.sstable.format.big.BigTableWriter,append,,UnsupportedOperationException,,,FileNotFoundException,,apply,AbstractSSTableIterator.java
Cassandra,CASSANDRA-10743,SSTableRewriter.java,org.apache.cassandra.io.sstable.SSTableRewriter,append,,UnsupportedOperationException,,,StreamReceiveException,,delete,CompactionManager.java
Cassandra,CASSANDRA-10743,DefaultCompactionWriter.java,org.apache.cassandra.db.compaction.writers.DefaultCompactionWriter,realAppend,,UnsupportedOperationException,,,ClosedByInterruptException,,remove,RepairMessageVerbHandler.java
Cassandra,CASSANDRA-10743,CompactionAwareWriter.java,org.apache.cassandra.db.compaction.writers.CompactionAwareWriter,append,,UnsupportedOperationException,,,AbstractMethodError,,openChannel,ActiveRepairService.java
Cassandra,CASSANDRA-10743,CompactionTask.java,org.apache.cassandra.db.compaction.CompactionTask,runMayThrow,,UnsupportedOperationException,,,MalformedInputException,,<init>,BooleanSerializer.java
Cassandra,CASSANDRA-10743,WrappedRunnable.java,org.apache.cassandra.utils.WrappedRunnable,run,,UnsupportedOperationException,,,InstanceNotFoundException,,open,BufferCell.java
Cassandra,CASSANDRA-10743,CompactionTask.java,org.apache.cassandra.db.compaction.CompactionTask,executeInternal,,UnsupportedOperationException,,,SecurityException,,<init>,AbstractCType.java
Cassandra,CASSANDRA-10743,AbstractCompactionTask.java,org.apache.cassandra.db.compaction.AbstractCompactionTask,execute,,UnsupportedOperationException,,,UnknownTableException,,fileDigestValidator,Throwables.java
Cassandra,CASSANDRA-10743,CompactionManager.java,org.apache.cassandra.db.compaction.CompactionManager$5,execute,,UnsupportedOperationException,,,NoSuchFieldException,,verify,AbstractQueuedSynchronizer.java
Cassandra,CASSANDRA-10743,CompactionManager.java,org.apache.cassandra.db.compaction.CompactionManager$2,call,,UnsupportedOperationException,,,Errors$NativeIoException,,main,Native Method) ~[na
Cassandra,CASSANDRA-10743,FutureTask.java,java.util.concurrent.FutureTask,run,,UnsupportedOperationException,,,DigestMismatchException,,translateToIOException,AbstractFuture.java
Cassandra,CASSANDRA-10743,ThreadPoolExecutor.java,java.util.concurrent.ThreadPoolExecutor,runWorker,,UnsupportedOperationException,,,ServerError,,rethrowAsIOException,StreamEventJMXNotifier.java
Cassandra,CASSANDRA-10743,ThreadPoolExecutor.java,java.util.concurrent.ThreadPoolExecutor$Worker,run,,UnsupportedOperationException,,,IllegalAccessException,,newFileChannel,AbstractCellNameType.java
Cassandra,CASSANDRA-10743,Thread.java,java.lang.Thread,run,,UnsupportedOperationException,,,IncompatibleClassChangeError,,open,NodeTool.java
Cassandra,CASSANDRA-10743,ByteBufferUtil.java,org.apache.cassandra.utils.ByteBufferUtil,readBytes,,UnsupportedOperationException,,,NoSuchMethodError,,updateBlock,NodeTool.java
Cassandra,CASSANDRA-10743,CompactionMetadata.java,org.apache.cassandra.io.sstable.metadata.CompactionMetadata$CompactionMetadataSerializer,deserialize,,UnsupportedOperationException,,,ReadTimeoutException,,doValidationCompaction,Native Method) ~[na
Cassandra,CASSANDRA-10743,MetadataSerializer.java,org.apache.cassandra.io.sstable.metadata.MetadataSerializer,deserialize,,UnsupportedOperationException,,,InvalidSerializedSizeException,,doVerb,AbstractInterruptibleChannel.java
Cassandra,CASSANDRA-10743,SSTableReader.java,org.apache.cassandra.io.sstable.format.SSTableReader,getApproximateKeyCount,,UnsupportedOperationException,,,Error,,getAndReferenceSSTables,LegacyLayout.java
Cassandra,CASSANDRA-10743,CompactionAwareWriter.java,org.apache.cassandra.db.compaction.writers.CompactionAwareWriter,<init>,,UnsupportedOperationException,,,DecoderException,,deserialize,UnfilteredDeserializer.java
Cassandra,CASSANDRA-10743,DefaultCompactionWriter.java,org.apache.cassandra.db.compaction.writers.DefaultCompactionWriter,<init>,,UnsupportedOperationException,,,,,<init>,UnfilteredDeserializer.java
Cassandra,CASSANDRA-10743,CompactionTask.java,org.apache.cassandra.db.compaction.CompactionTask,getCompactionAwareWriter,,UnsupportedOperationException,,,UnserializableColumnFamilyException,,checkRemaining,SSTableSimpleIterator.java
Cassandra,CASSANDRA-10756,SingleThreadEventExecutor.java,io.netty.util.concurrent.SingleThreadEventExecutor,reject,,RejectedExecutionException,,,UnknownHostException,,propagate,SSTableIdentityIterator.java
Cassandra,CASSANDRA-10779,Keyspace.java,org.apache.cassandra.db.Keyspace,apply,,WriteTimeoutException,,,SSLHandshakeException,,acquireInterruptibly,BigTableScanner.java
Cassandra,CASSANDRA-10788,FileUtils.java,org.apache.cassandra.io.util.FileUtils,delete,,NullPointerException,,,ProtocolError,,ensureReadOpen,LazilyInitializedUnfilteredRowIterator.java
Cassandra,CASSANDRA-10797,ApplicationShutdownHooks.java,java.lang.ApplicationShutdownHooks,remove,,OutOfMemoryError,,,ReadFailureException,,transferTo,UnfilteredPartitionIterators.java
Cassandra,CASSANDRA-10822,ChannelProxy.java,org.apache.cassandra.io.util.ChannelProxy,openChannel,,NoSuchFileException,,,TProtocolException,,transferTo0,MergeIterator.java
Cassandra,CASSANDRA-10822,ChannelProxy.java,org.apache.cassandra.io.util.ChannelProxy,<init>,,NoSuchFileException,,,InvalidClassException,,getValue,AbstractIterator.java
Cassandra,CASSANDRA-10822,RandomAccessReader.java,org.apache.cassandra.io.util.RandomAccessReader,open,,NoSuchFileException,,,NoSuchElementException,,onFailure,UnfilteredPartitionIterators.java
Cassandra,CASSANDRA-10822,DataIntegrityMetadata.java,org.apache.cassandra.io.util.DataIntegrityMetadata$FileDigestValidator,<init>,,NoSuchFileException,,,NotSerializableException,,cellFromByteBuffer,BasePartitions.java
Cassandra,CASSANDRA-10822,DataIntegrityMetadata.java,org.apache.cassandra.io.util.DataIntegrityMetadata,fileDigestValidator,,NoSuchFileException,,,TimedOutException,,run,CompactionIterator.java
Cassandra,CASSANDRA-10822,Verifier.java,org.apache.cassandra.db.compaction.Verifier,verify,,NoSuchFileException,,,IOError,,main,CompactionManager.java
Cassandra,CASSANDRA-10822,StandaloneVerifier.java,org.apache.cassandra.tools.StandaloneVerifier,main,,NoSuchFileException,,,ClosedChannelException,,read0,Executors.java
Cassandra,CASSANDRA-10822,UnixException.java,sun.nio.fs.UnixException,translateToIOException,,NoSuchFileException,,,ExecutionException,,end,AbstractClusteringPrefix.java
Cassandra,CASSANDRA-10822,UnixException.java,sun.nio.fs.UnixException,rethrowAsIOException,,NoSuchFileException,,,UnsatisfiedLinkError,,write0,SerializationHeader.java
Cassandra,CASSANDRA-10822,UnixFileSystemProvider.java,sun.nio.fs.UnixFileSystemProvider,newFileChannel,,NoSuchFileException,,,NegativeArraySizeException,,readLegacyAtom,CommitLogReplayer.java
Cassandra,CASSANDRA-10822,FileChannel.java,java.nio.channels.FileChannel,open,,NoSuchFileException,,,ParseException,,readAtom,DebuggableThreadPoolExecutor.java
Cassandra,CASSANDRA-10903,AbstractSSTableIterator.java,org.apache.cassandra.db.columniterator.AbstractSSTableIterator$IndexState,updateBlock,,AssertionError,,,StringIndexOutOfBoundsException,,hasNext,CQLFragmentParser.java
Cassandra,CASSANDRA-10909,CompactionManager.java,org.apache.cassandra.db.compaction.CompactionManager,doValidationCompaction,,NullPointerException,,,SQLSyntaxErrorException,,readRow,Terms.java
Cassandra,CASSANDRA-10909,RepairMessageVerbHandler.java,org.apache.cassandra.repair.RepairMessageVerbHandler,doVerb,,NullPointerException,,,NoHostAvailableException,,readStaticRow,SchemaKeyspace.java
Cassandra,CASSANDRA-10909,ActiveRepairService.java,org.apache.cassandra.service.ActiveRepairService$ParentRepairSession,getAndReferenceSSTables,,NullPointerException,,,FileSystemException,,<init>,Schema.java
Cassandra,CASSANDRA-10943,BooleanSerializer.java,org.apache.cassandra.serializers.BooleanSerializer,deserialize,,NullPointerException,,,UnknownColumnFamilyException,,initializeIterator,CassandraDaemon.java
Cassandra,CASSANDRA-10944,BufferCell.java,org.apache.cassandra.db.rows.BufferCell,<init>,,AssertionError,,,TooLongFrameException,,maybeInit,Columns.java
Cassandra,CASSANDRA-10954,BufferCell.java,org.apache.cassandra.db.rows.BufferCell,<init>,,AssertionError,,,IllegalAccessError,,isReverseOrder,EstimatedHistogram.java
Cassandra,CASSANDRA-10961,AbstractCType.java,org.apache.cassandra.db.composites.AbstractCType,checkRemaining,,IOException,,,RepairException,,reduce,ThreadPoolExecutor.java
Cassandra,CASSANDRA-10961,Throwables.java,com.google.common.base.Throwables,propagate,,IOException,,,CancellationException,,computeNext,Slice.java
Cassandra,CASSANDRA-10961,AbstractQueuedSynchronizer.java,java.util.concurrent.locks.AbstractQueuedSynchronizer,acquireInterruptibly,,IOException,,,ArrayStoreException,,hasNext,RangeTombstoneList.java
Cassandra,CASSANDRA-10961,SocketChannelImpl.java,sun.nio.ch.SocketChannelImpl,ensureReadOpen,,IOException,,,CorruptBlockException,,hasNext,TypeSizes.java
Cassandra,CASSANDRA-10961,ChannelProxy.java,org.apache.cassandra.io.util.ChannelProxy,transferTo,,IOException,,,TombstoneOverwhelmingException,,hasNext,BTreeRow.java
Cassandra,CASSANDRA-10961,Native Method) ~[na,sun.nio.ch.FileChannelImpl,transferTo0,,IOException,,,SyntaxError,,hasNext,JavaBasedUDFunction.java
Cassandra,CASSANDRA-10961,AbstractFuture.java,com.google.common.util.concurrent.AbstractFuture$Sync,getValue,,IOException,,,InvalidQueryException,,runMayThrow,URLClassLoader.java
Cassandra,CASSANDRA-10961,StreamEventJMXNotifier.java,org.apache.cassandra.streaming.management.StreamEventJMXNotifier,onFailure,,IOException,,,IllegalReferenceCountException,,call,UDFunction.java
Cassandra,CASSANDRA-10988,AbstractCellNameType.java,org.apache.cassandra.db.composites.AbstractCellNameType,cellFromByteBuffer,,ClassCastException,,,<eval>:2 ReferenceError,,get,ElassandraDaemon.java
Cassandra,CASSANDRA-10991,NodeTool.java,org.apache.cassandra.tools.NodeTool$NodeToolCmd,run,,RuntimeException,,,,,toHeader,ClassLoader.java
Cassandra,CASSANDRA-10991,NodeTool.java,org.apache.cassandra.tools.NodeTool,main,,RuntimeException,,,,,handleReplayError,Launcher.java
Cassandra,CASSANDRA-10992,Throwables.java,com.google.common.base.Throwables,propagate,,IOException,,,,,rejectedExecution,Buffer.java
Cassandra,CASSANDRA-10992,Native Method) ~[na,sun.nio.ch.FileDispatcherImpl,read0,,IOException,,,,,parseAny,CassandraServer.java
Cassandra,CASSANDRA-10992,AbstractInterruptibleChannel.java,java.nio.channels.spi.AbstractInterruptibleChannel,end,,IOException,,,,,asBytes,Cassandra.java
Cassandra,CASSANDRA-10992,Native Method) ~[na,sun.nio.ch.FileChannelImpl,transferTo0,,IOException,,,,,createUDAFromRow,TThreadPoolServer.java
Cassandra,CASSANDRA-10992,Native Method) ~[na,sun.nio.ch.FileDispatcherImpl,write0,,IOException,,,,,fetchUDAs,StorageService.java
Cassandra,CASSANDRA-11018,LegacyLayout.java,org.apache.cassandra.db.LegacyLayout,readLegacyAtom,,AssertionError,,,,,fetchFunctions,Futures.java
Cassandra,CASSANDRA-11018,UnfilteredDeserializer.java,org.apache.cassandra.db.UnfilteredDeserializer$OldFormatDeserializer$AtomIterator,readAtom,,AssertionError,,,,,fetchKeyspace,MoreExecutors.java
Cassandra,CASSANDRA-11018,UnfilteredDeserializer.java,org.apache.cassandra.db.UnfilteredDeserializer$OldFormatDeserializer$AtomIterator,hasNext,,AssertionError,,,,,fetchKeyspacesWithout,ExecutionList.java
Cassandra,CASSANDRA-11018,UnfilteredDeserializer.java,org.apache.cassandra.db.UnfilteredDeserializer$OldFormatDeserializer$UnfilteredIterator,readRow,,AssertionError,,,,,fetchNonSystemKeyspaces,AbstractFuture.java
Cassandra,CASSANDRA-11018,SSTableSimpleIterator.java,org.apache.cassandra.io.sstable.SSTableSimpleIterator$OldFormatIterator,readStaticRow,,AssertionError,,,,,loadFromDisk,StreamResultFuture.java
Cassandra,CASSANDRA-11018,SSTableIdentityIterator.java,org.apache.cassandra.io.sstable.SSTableIdentityIterator,<init>,,AssertionError,,,,,setup,StreamSession.java
Cassandra,CASSANDRA-11018,BigTableScanner.java,org.apache.cassandra.io.sstable.format.big.BigTableScanner$KeyScanningIterator$1,initializeIterator,,AssertionError,,,,,activate,IncomingFileMessage.java
Cassandra,CASSANDRA-11018,LazilyInitializedUnfilteredRowIterator.java,org.apache.cassandra.db.rows.LazilyInitializedUnfilteredRowIterator,maybeInit,,AssertionError,,,,,main,StreamMessage.java
Cassandra,CASSANDRA-11018,LazilyInitializedUnfilteredRowIterator.java,org.apache.cassandra.db.rows.LazilyInitializedUnfilteredRowIterator,isReverseOrder,,AssertionError,,,,,encodeBitmap,ConnectionHandler.java
Cassandra,CASSANDRA-11018,UnfilteredPartitionIterators.java,org.apache.cassandra.db.partitions.UnfilteredPartitionIterators$1,reduce,,AssertionError,,,,,rawMean,ColumnDefinitions.java
Cassandra,CASSANDRA-11018,MergeIterator.java,org.apache.cassandra.utils.MergeIterator$OneToOne,computeNext,,AssertionError,,,,,rejectedExecution,ArrayBackedRow.java
Cassandra,CASSANDRA-11018,AbstractIterator.java,org.apache.cassandra.utils.AbstractIterator,hasNext,,AssertionError,,,,,create,AbstractGettableData.java
Cassandra,CASSANDRA-11018,UnfilteredPartitionIterators.java,org.apache.cassandra.db.partitions.UnfilteredPartitionIterators$2,hasNext,,AssertionError,,,,,insertFrom,NativeSSTableLoaderClient.java
Cassandra,CASSANDRA-11018,BasePartitions.java,org.apache.cassandra.db.transform.BasePartitions,hasNext,,AssertionError,,,,,encodedUTF8Length,SSTableLoader.java
Cassandra,CASSANDRA-11018,CompactionIterator.java,org.apache.cassandra.db.compaction.CompactionIterator,hasNext,,AssertionError,,,,,getCell,BulkLoader.java
Cassandra,CASSANDRA-11018,CompactionTask.java,org.apache.cassandra.db.compaction.CompactionTask,runMayThrow,,AssertionError,,,,,<clinit>,SocketAdaptor.java
Cassandra,CASSANDRA-11018,WrappedRunnable.java,org.apache.cassandra.utils.WrappedRunnable,run,,AssertionError,,,,,findClass,ColumnSerializer.java
Cassandra,CASSANDRA-11018,CompactionTask.java,org.apache.cassandra.db.compaction.CompactionTask,executeInternal,,AssertionError,,,,,create,SuperColumn.java
Cassandra,CASSANDRA-11018,AbstractCompactionTask.java,org.apache.cassandra.db.compaction.AbstractCompactionTask,execute,,AssertionError,,,,,createUDFFromRow,SSTableSliceIterator.java
Cassandra,CASSANDRA-11018,CompactionManager.java,org.apache.cassandra.db.compaction.CompactionManager$8,runMayThrow,,AssertionError,,,,,fetchUDFs,BTreeRow.java
Cassandra,CASSANDRA-11018,Executors.java,java.util.concurrent.Executors$RunnableAdapter,call,,AssertionError,,,,,activate,CompactTables.java
Cassandra,CASSANDRA-11018,FutureTask.java,java.util.concurrent.FutureTask,run,,AssertionError,,,,,main,LongType.java
Cassandra,CASSANDRA-11018,ThreadPoolExecutor.java,java.util.concurrent.ThreadPoolExecutor,runWorker,,AssertionError,,,,,loadClass,ArrayList.java
Cassandra,CASSANDRA-11018,ThreadPoolExecutor.java,java.util.concurrent.ThreadPoolExecutor$Worker,run,,AssertionError,,,,,loadClass,SafeMemory.java
Cassandra,CASSANDRA-11018,Thread.java,java.lang.Thread,run,,AssertionError,,,,,checkIndex,PasswordAuthenticator.java
Cassandra,CASSANDRA-11021,AbstractClusteringPrefix.java,org.apache.cassandra.db.AbstractClusteringPrefix,get,,ArrayIndexOutOfBoundsException,,,,,describe_keyspace,Cassandra.java
Cassandra,CASSANDRA-11050,SerializationHeader.java,org.apache.cassandra.db.SerializationHeader$Component,toHeader,,CommitLogReplayer$CommitLogReplayException,,,,,process,ProcessFunction.java
Cassandra,CASSANDRA-11050,CommitLogReplayer.java,org.apache.cassandra.db.commitlog.CommitLogReplayer,handleReplayError,,CommitLogReplayer$CommitLogReplayException,,,,,run,TBaseProcessor.java
Cassandra,CASSANDRA-11062,DebuggableThreadPoolExecutor.java,org.apache.cassandra.concurrent.DebuggableThreadPoolExecutor$1,rejectedExecution,,RejectedExecutionException,,,,,onFailure,Message.java
Cassandra,CASSANDRA-11064,CQLFragmentParser.java,org.apache.cassandra.cql3.CQLFragmentParser,parseAny,,SyntaxException,,,,,run,Message.java
Cassandra,CASSANDRA-11064,Terms.java,org.apache.cassandra.cql3.Terms,asBytes,,SyntaxException,,,,,execute,TDisruptorServer.java
Cassandra,CASSANDRA-11064,SchemaKeyspace.java,org.apache.cassandra.schema.SchemaKeyspace,createUDAFromRow,,SyntaxException,,,,,executeListener,WorkProcessor.java
Cassandra,CASSANDRA-11064,SchemaKeyspace.java,org.apache.cassandra.schema.SchemaKeyspace,fetchUDAs,,SyntaxException,,,,,execute,FileChannelImpl.java
Cassandra,CASSANDRA-11064,SchemaKeyspace.java,org.apache.cassandra.schema.SchemaKeyspace,fetchFunctions,,SyntaxException,,,,,setException,OnDiskIndexBuilder.java
Cassandra,CASSANDRA-11064,SchemaKeyspace.java,org.apache.cassandra.schema.SchemaKeyspace,fetchKeyspace,,SyntaxException,,,,,maybeComplete,ReadCommand.java
Cassandra,CASSANDRA-11064,SchemaKeyspace.java,org.apache.cassandra.schema.SchemaKeyspace,fetchKeyspacesWithout,,SyntaxException,,,,,handleSessionComplete,Unknown Source
Cassandra,CASSANDRA-11064,SchemaKeyspace.java,org.apache.cassandra.schema.SchemaKeyspace,fetchNonSystemKeyspaces,,SyntaxException,,,,,closeSession,Unknown Source
Cassandra,CASSANDRA-11064,Schema.java,org.apache.cassandra.config.Schema,loadFromDisk,,SyntaxException,,,,,onError,Unknown Source
Cassandra,CASSANDRA-11064,CassandraDaemon.java,org.apache.cassandra.service.CassandraDaemon,setup,,SyntaxException,,,,,doRetry,RandomPartitioner.java
Cassandra,CASSANDRA-11064,CassandraDaemon.java,org.apache.cassandra.service.CassandraDaemon,activate,,SyntaxException,,,,,deserialize,Operation.java
Cassandra,CASSANDRA-11064,CassandraDaemon.java,org.apache.cassandra.service.CassandraDaemon,main,,SyntaxException,,,,,deserialize,CqlOperation.java
Cassandra,CASSANDRA-11065,RepairMessageVerbHandler.java,org.apache.cassandra.repair.RepairMessageVerbHandler,doVerb,,NullPointerException,,,,,run,StressAction.java
