Project,BugID,Filename,Path,Method name,,Exception,Label,,Unique Exception,,Unique Filename,,Method name
AspectJ,101407,Canvas.java,org.eclipse.swt.widgets.Canvas,WM_SETFOCUS,,NullPointerException,,,,,Action.java,,WM_SETFOCUS
AspectJ,101407,Control.java,org.eclipse.swt.widgets.Control,windowProc,,NullPointerException,,,,,ActionContributionItem.java,,windowProc
AspectJ,101407,Display.java,org.eclipse.swt.widgets.Display,windowProc,,NullPointerException,,,,,ActionContributionItem.java,,windowProc
AspectJ,101407,Native Method,org.eclipse.swt.internal.win32.OS,SetFocus,,NullPointerException,,,,,Workbench.java,,SetFocus
AspectJ,101407,Control.java,org.eclipse.swt.widgets.Control,forceFocus,,NullPointerException,,,,,PlatformUI.java,,forceFocus
AspectJ,101407,Control.java,org.eclipse.swt.widgets.Control,setFocus,,NullPointerException,,,,,IDEApplication.java,,setFocus
AspectJ,101407,Composite.java,org.eclipse.swt.widgets.Composite,setFocus,,NullPointerException,,,,,PlatformActivator.java,,setFocus
AspectJ,101407,GraphicalEditor.java,org.eclipse.gef.ui.parts.GraphicalEditor,setFocus,,NullPointerException,,,,,EclipseStarter.java,,setFocus
AspectJ,101407,MultiPageEditorPart.java,org.eclipse.ui.part.MultiPageEditorPart,setFocus,,NullPointerException,,,,,Native Method,,setFocus
AspectJ,101407,MultiPageEditorPart.java,org.eclipse.ui.part.MultiPageEditorPart,pageChange,,NullPointerException,,,,,NativeMethodAccessorImpl.java,,pageChange
AspectJ,101407,ReportEditor.java,org.eclipse.birt.report.designer.ui.editors.ReportEditor,pageChange,,NullPointerException,,,,,DelegatingMethodAccessorImpl.java,,pageChange
AspectJ,101407,ReportEditor.java,org.eclipse.birt.report.designer.ui.editors.ReportEditor,rebuildReportDesign,,NullPointerException,,,,,Method.java,,rebuildReportDesign
AspectJ,101407,ReportEditor.java,org.eclipse.birt.report.designer.ui.editors.ReportEditor,setInput,,NullPointerException,,,,,Main.java,,setInput
AspectJ,101407,ReportEditor.java,org.eclipse.birt.report.designer.ui.editors.ReportEditor,performSaveAs,,NullPointerException,,,,,BcelRenderer.java,,performSaveAs
AspectJ,101407,ReportEditor.java,org.eclipse.birt.report.designer.ui.editors.ReportEditor,doSaveAs,,NullPointerException,,,,,Literal.java,,doSaveAs
AspectJ,101407,SaveAsAction.java,org.eclipse.ui.internal.SaveAsAction,run,,NullPointerException,,,,,BcelAdvice.java,,run
AspectJ,101407,Action.java,org.eclipse.jface.action.Action,runWithEvent,,NullPointerException,,,,,BcelShadow.java,,runWithEvent
AspectJ,101407,ActionContributionItem.java,org.eclipse.jface.action.ActionContributionItem,handleWidgetSelection,,NullPointerException,,,,,Shadow.java,,handleWidgetSelection
AspectJ,101407,ActionContributionItem.java,org.eclipse.jface.action.ActionContributionItem,access$2,,NullPointerException,,,,,BcelClassWeaver.java,,access$2
AspectJ,101407,ActionContributionItem.java,org.eclipse.jface.action.ActionContributionItem$7,handleEvent,,NullPointerException,,,,,BcelWeaver.java,,handleEvent
AspectJ,101407,Display.java,org.eclipse.swt.widgets.Display,runDeferredEvents,,NullPointerException,,,,,AjCompilerAdapter.java,,runDeferredEvents
AspectJ,101407,Display.java,org.eclipse.swt.widgets.Display,readAndDispatch,,NullPointerException,,,,,CompilerAdapter.aj,,readAndDispatch
AspectJ,101407,Workbench.java,org.eclipse.ui.internal.Workbench,runEventLoop,,NullPointerException,,,,,AjBuildManager.java,,runEventLoop
AspectJ,101407,Workbench.java,org.eclipse.ui.internal.Workbench,runUI,,NullPointerException,,,,,CompilerAdapter.java,,runUI
AspectJ,101407,Workbench.java,org.eclipse.ui.internal.Workbench,createAndRunWorkbench,,NullPointerException,,,,,AspectJBuildManager.java,,createAndRunWorkbench
AspectJ,101407,PlatformUI.java,org.eclipse.ui.PlatformUI,createAndRunWorkbench,,NullPointerException,,,,,BcelGenericSignatureToTypeXConverter.java,,createAndRunWorkbench
AspectJ,101407,IDEApplication.java,org.eclipse.ui.internal.ide.IDEApplication,run,,NullPointerException,,,,,BcelObjectType.java,,run
AspectJ,101407,PlatformActivator.java,org.eclipse.core.internal.runtime.PlatformActivator$1,run,,NullPointerException,,,,,BcelWorld.java,,run
AspectJ,101407,EclipseStarter.java,org.eclipse.core.runtime.adaptor.EclipseStarter,run,,NullPointerException,,,,,AccessForInlineVisitor.java,,run
AspectJ,101407,Native Method,sun.reflect.NativeMethodAccessorImpl,invoke0,,NullPointerException,,,,,FieldReference.java,,invoke0
AspectJ,101407,NativeMethodAccessorImpl.java,sun.reflect.NativeMethodAccessorImpl,invoke,,NullPointerException,,,,,MessageSend.java,,invoke
AspectJ,101407,DelegatingMethodAccessorImpl.java,sun.reflect.DelegatingMethodAccessorImpl,invoke,,NullPointerException,,,,,MethodDeclaration.java,,invoke
AspectJ,101407,Method.java,java.lang.reflect.Method,invoke,,NullPointerException,,,,,MylarJavaElementDescriptor.java,,invoke
AspectJ,101407,Main.java,org.eclipse.core.launcher.Main,basicRun,,NullPointerException,,,,,CompositeImageDescriptor.java,,basicRun
AspectJ,101407,Main.java,org.eclipse.core.launcher.Main,run,,NullPointerException,,,,,ImageDescriptor.java,,run
AspectJ,101407,Main.java,org.eclipse.core.launcher.Main,main,,NullPointerException,,,,,MylarImages.java,,main
AspectJ,103740,BcelRenderer.java,org.aspectj.weaver.bcel.BcelRenderer,visit,,BCException,,,,,MylarCompilationUnitEditor.java,,visit
AspectJ,103740,Literal.java,org.aspectj.weaver.ast.Literal,accept,,BCException,,,,,JavaEditorErrorTickUpdater.java,,accept
AspectJ,103740,BcelRenderer.java,org.aspectj.weaver.bcel.BcelRenderer,recur,,BCException,,,,,Synchronizer.java,,recur
AspectJ,103740,BcelRenderer.java,org.aspectj.weaver.bcel.BcelRenderer,renderTest,,BCException,,,,,UISynchronizer.java,,renderTest
AspectJ,103740,BcelAdvice.java,org.aspectj.weaver.bcel.BcelAdvice,getTestInstructions,,BCException,,,,,JavaEditorErrorTickUpdater.java,,getTestInstructions
AspectJ,103740,BcelShadow.java,org.aspectj.weaver.bcel.BcelShadow,weaveAroundClosure,,BCException,,,,,CompilationUnitEditor.java,,weaveAroundClosure
AspectJ,103740,BcelAdvice.java,org.aspectj.weaver.bcel.BcelAdvice,implementOn,,BCException,,,,,AbstractTextEditor.java,,implementOn
AspectJ,103740,Shadow.java,org.aspectj.weaver.Shadow,implementMungers,,BCException,,,,,ModalContext.java,,implementMungers
AspectJ,103740,Shadow.java,org.aspectj.weaver.Shadow,implement,,BCException,,,,,ApplicationWindow.java,,implement
AspectJ,103740,BcelClassWeaver.java,org.aspectj.weaver.bcel.BcelClassWeaver,implement,,BCException,,,,,BusyIndicator.java,,implement
AspectJ,103740,BcelClassWeaver.java,org.aspectj.weaver.bcel.BcelClassWeaver,weave,,BCException,,,,,WorkbenchWindow.java,,weave
AspectJ,103740,BcelWeaver.java,org.aspectj.weaver.bcel.BcelWeaver,weave,,BCException,,,,,AbstractTextEditor.java,,weave
AspectJ,103740,BcelWeaver.java,org.aspectj.weaver.bcel.BcelWeaver,weaveWithoutDump,,BCException,,,,,EditorManager.java,,weaveWithoutDump
AspectJ,103740,BcelWeaver.java,org.aspectj.weaver.bcel.BcelWeaver,weaveAndNotify,,BCException,,,,,EditorReference.java,,weaveAndNotify
AspectJ,103740,AjCompilerAdapter.java,org.aspectj.ajdt.internal.compiler.AjCompilerAdapter,weave,,BCException,,,,,WorkbenchPartReference.java,,weave
AspectJ,103740,AjCompilerAdapter.java,org.aspectj.ajdt.internal.compiler.AjCompilerAdapter,afterCompiling,,BCException,,,,,WorkbenchPage.java,,afterCompiling
AspectJ,103740,CompilerAdapter.aj,org.aspectj.ajdt.internal.compiler.CompilerAdapter,ajc$afterReturning$org_aspectj_ajdt_internal_compiler_CompilerAdapter$2$f9cc9ca0,,BCException,,,,,OpenLogEntryAction.java,,ajc$afterReturning$org_aspectj_ajdt_internal_compiler_CompilerAdapter$2$f9cc9ca0
AspectJ,103740,Compiler.java,org.aspectj.org.eclipse.jdt.internal.compiler.Compiler,compile,,BCException,,,,,RepositoryManager.java,,performCompilation
AspectJ,103740,AjBuildManager.java,org.aspectj.ajdt.internal.core.builder.AjBuildManager,performCompilation,,BCException,,,,,CVSAction.java,,doBuild
AspectJ,103740,AjBuildManager.java,org.aspectj.ajdt.internal.core.builder.AjBuildManager,doBuild,,BCException,,,,,OpenLogEntryAction.java,,batchBuild
AspectJ,103740,AjBuildManager.java,org.aspectj.ajdt.internal.core.builder.AjBuildManager,batchBuild,,BCException,,,,,HistoryView.java,,compile
AspectJ,103740,CompilerAdapter.java,org.aspectj.ajde.internal.CompilerAdapter,compile,,BCException,,,,,BcelVar.java,,run
AspectJ,103740,AspectJBuildManager.java,org.aspectj.ajde.internal.AspectJBuildManager$CompilerThread,run,,BCException,,,,,AjdtCommand.java,,typeVariableSignature2TypeX
AspectJ,106634,BcelGenericSignatureToTypeXConverter.java,org.aspectj.weaver.bcel.BcelGenericSignatureToTypeXConverter,typeVariableSignature2TypeX,,IllegalStateException,,,,,Main.java,,fieldTypeSignature2TypeX
AspectJ,106634,BcelGenericSignatureToTypeXConverter.java,org.aspectj.weaver.bcel.BcelGenericSignatureToTypeXConverter,fieldTypeSignature2TypeX,,IllegalStateException,,,,,ClassParser.java,,typeArgument2TypeX
AspectJ,106634,BcelGenericSignatureToTypeXConverter.java,org.aspectj.weaver.bcel.BcelGenericSignatureToTypeXConverter,typeArgument2TypeX,,IllegalStateException,,,,,Utility.java,,classTypeSignature2TypeX
AspectJ,106634,BcelGenericSignatureToTypeXConverter.java,org.aspectj.weaver.bcel.BcelGenericSignatureToTypeXConverter,classTypeSignature2TypeX,,IllegalStateException,,,,,UnwovenClassFile.java,,unpackGenericSignature
AspectJ,106634,BcelObjectType.java,org.aspectj.weaver.bcel.BcelObjectType,unpackGenericSignature,,IllegalStateException,,,,,AjState.java,,getBcelObjectType
AspectJ,107713,BcelWorld.java,org.aspectj.weaver.bcel.BcelWorld,getBcelObjectType,,ClassCastException,,,,,AjBuildManager.java,,getClassType
AspectJ,107713,BcelWeaver.java,org.aspectj.weaver.bcel.BcelWeaver,getClassType,,ClassCastException,,,,,Constant.java,,incrementalBuild
AspectJ,107713,BcelWeaver.java,org.aspectj.weaver.bcel.BcelWeaver,weave,,ClassCastException,,,,,ConstantPool.java,,getAccessibleField
AspectJ,107713,AjCompilerAdapter.java,org.aspectj.ajdt.internal.compiler.AjCompilerAdapter,weave,,ClassCastException,,,,,Instrumenter.java,,endVisit
AspectJ,107713,AjCompilerAdapter.java,org.aspectj.ajdt.internal.compiler.AjCompilerAdapter,afterCompiling,,ClassCastException,,,,,Main.java,,traverse
AspectJ,107713,CompilerAdapter.aj,org.aspectj.ajdt.internal.compiler.CompilerAdapter,ajc$afterReturning$org_aspectj_ajdt_internal_compiler_CompilerAdapter$2$f9cc9ca0,,ClassCastException,,,,,Utility.java,,traverse
AspectJ,107713,Compiler.java,org.aspectj.org.eclipse.jdt.internal.compiler.Compiler,compile,,ClassCastException,,,,,Type.java,,traverse
AspectJ,107713,AjBuildManager.java,org.aspectj.ajdt.internal.core.builder.AjBuildManager,performCompilation,,ClassCastException,,,,,CaptureBinding.java,,drawCompositeImage
AspectJ,107713,AjBuildManager.java,org.aspectj.ajdt.internal.core.builder.AjBuildManager,doBuild,,ClassCastException,,,,,ParameterizedTypeBinding.java,,getImageData
AspectJ,107713,AjBuildManager.java,org.aspectj.ajdt.internal.core.builder.AjBuildManager,incrementalBuild,,ClassCastException,,,,,SingleNameReference.java,,createImage
AspectJ,107713,CompilerAdapter.java,org.aspectj.ajde.internal.CompilerAdapter,compile,,ClassCastException,,,,,LocalDeclaration.java,,getImage
AspectJ,107713,AspectJBuildManager.java,org.aspectj.ajde.internal.AspectJBuildManager$CompilerThread,run,,ClassCastException,,,,,AbstractMethodDeclaration.java,,updatedTitleImage
AspectJ,107858,AccessForInlineVisitor.java,org.aspectj.ajdt.internal.compiler.ast.AccessForInlineVisitor,getAccessibleField,,NullPointerException,,,,,TypeDeclaration.java,,run
AspectJ,107858,AccessForInlineVisitor.java,org.aspectj.ajdt.internal.compiler.ast.AccessForInlineVisitor,endVisit,,NullPointerException,,,,,CompilationUnitDeclaration.java,,syncExec
AspectJ,107858,FieldReference.java,org.aspectj.org.eclipse.jdt.internal.compiler.ast.FieldReference,traverse,,NullPointerException,,,,,WildAnnotationTypePattern.java,,syncExec
AspectJ,107858,MessageSend.java,org.aspectj.org.eclipse.jdt.internal.compiler.ast.MessageSend,traverse,,NullPointerException,,,,,SignaturePattern.java,,syncExec
AspectJ,107858,MethodDeclaration.java,org.aspectj.org.eclipse.jdt.internal.compiler.ast.MethodDeclaration,traverse,,NullPointerException,,,,,WithincodePointcut.java,,postImageChange
AspectJ,108062,MylarJavaElementDescriptor.java,org.eclipse.mylar.java.ui.editor.MylarJavaElementDescriptor,drawCompositeImage,,NullPointerException,,,,,Pointcut.java,,updateEditorImage
AspectJ,108062,CompositeImageDescriptor.java,org.eclipse.jface.resource.CompositeImageDescriptor,getImageData,,NullPointerException,,,,,AndPointcut.java,,doSetInput
AspectJ,108062,ImageDescriptor.java,org.eclipse.jface.resource.ImageDescriptor,createImage,,NullPointerException,,,,,ShadowMunger.java,,run
AspectJ,108062,MylarImages.java,org.eclipse.mylar.ui.MylarImages,getImage,,NullPointerException,,,,,Advice.java,,runInCurrentThread
AspectJ,108062,MylarCompilationUnitEditor.java,org.eclipse.mylar.java.ui.editor.MylarCompilationUnitEditor,updatedTitleImage,,NullPointerException,,,,,StringBuffer.java,,run
AspectJ,108062,JavaEditorErrorTickUpdater.java,org.eclipse.jdt.internal.ui.javaeditor.JavaEditorErrorTickUpdater$1,run,,NullPointerException,,,,,UnresolvedType.java,,run
AspectJ,108062,Synchronizer.java,org.eclipse.swt.widgets.Synchronizer,syncExec,,NullPointerException,,,,,EclipseSourceType.java,,showWhile
AspectJ,108062,UISynchronizer.java,org.eclipse.ui.internal.UISynchronizer,syncExec,,NullPointerException,,,,,ReferenceType.java,,run
AspectJ,108062,Display.java,org.eclipse.swt.widgets.Display,syncExec,,NullPointerException,,,,,ResolvedType.java,,internalInit
AspectJ,108062,JavaEditorErrorTickUpdater.java,org.eclipse.jdt.internal.ui.javaeditor.JavaEditorErrorTickUpdater,postImageChange,,NullPointerException,,,,,ResolvedType.java,,init
AspectJ,108062,JavaEditorErrorTickUpdater.java,org.eclipse.jdt.internal.ui.javaeditor.JavaEditorErrorTickUpdater,updateEditorImage,,NullPointerException,,,,,Iterators.java,,createSite
AspectJ,108062,CompilationUnitEditor.java,org.eclipse.jdt.internal.ui.javaeditor.CompilationUnitEditor,doSetInput,,NullPointerException,,,,,Iterators.java,,createPartHelper
AspectJ,108062,AbstractTextEditor.java,org.eclipse.ui.texteditor.AbstractTextEditor$16,run,,NullPointerException,,,,,ReferencePointcut.java,,createPart
AspectJ,108062,ModalContext.java,org.eclipse.jface.operation.ModalContext,runInCurrentThread,,NullPointerException,,,,,Ljava.lang.String;[BIILjava.security.ProtectionDomain;)Ljava.lang.Class;(Unknown Source,,getPart
AspectJ,108062,ModalContext.java,org.eclipse.jface.operation.ModalContext,run,,NullPointerException,,,,,SecureClassLoader.java,,getEditor
AspectJ,108062,ApplicationWindow.java,org.eclipse.jface.window.ApplicationWindow$1,run,,NullPointerException,,,,,WebappClassLoader.java,,busyOpenEditorBatched
AspectJ,108062,BusyIndicator.java,org.eclipse.swt.custom.BusyIndicator,showWhile,,NullPointerException,,,,,FactoryFinder.java,,busyOpenEditor
AspectJ,108062,WorkbenchWindow.java,org.eclipse.ui.internal.WorkbenchWindow,run,,NullPointerException,,,,,SAXParserFactory.java,,access$9
AspectJ,108062,AbstractTextEditor.java,org.eclipse.ui.texteditor.AbstractTextEditor,internalInit,,NullPointerException,,,,,Digester.java,,run
AspectJ,108062,AbstractTextEditor.java,org.eclipse.ui.texteditor.AbstractTextEditor,init,,NullPointerException,,,,,TldConfig.java,,openEditor
AspectJ,108062,EditorManager.java,org.eclipse.ui.internal.EditorManager,createSite,,NullPointerException,,,,,StandardContext.java,,run
AspectJ,108062,EditorReference.java,org.eclipse.ui.internal.EditorReference,createPartHelper,,NullPointerException,,,,,ContainerBase.java,,run
AspectJ,108062,EditorReference.java,org.eclipse.ui.internal.EditorReference,createPart,,NullPointerException,,,,,StandardHost.java,,run
AspectJ,108062,WorkbenchPartReference.java,org.eclipse.ui.internal.WorkbenchPartReference,getPart,,NullPointerException,,,,,HostConfig.java,,execute
AspectJ,108062,EditorReference.java,org.eclipse.ui.internal.EditorReference,getEditor,,NullPointerException,,,,,LifecycleSupport.java,,handleEvent
AspectJ,108062,WorkbenchPage.java,org.eclipse.ui.internal.WorkbenchPage,busyOpenEditorBatched,,NullPointerException,,,,,WeavingAdaptor.java,,invokeFramework
AspectJ,108062,WorkbenchPage.java,org.eclipse.ui.internal.WorkbenchPage,busyOpenEditor,,NullPointerException,,,,,WeavingAdaptor.java,,appendConvertableArrayStore
AspectJ,108062,WorkbenchPage.java,org.eclipse.ui.internal.WorkbenchPage,access$9,,NullPointerException,,,,,Aj.java,,weaveCflowEntry
AspectJ,108062,WorkbenchPage.java,org.eclipse.ui.internal.WorkbenchPage$9,run,,NullPointerException,,,,,ClassPreProcessorAgentAdapter.java,,doCommand
AspectJ,108062,WorkbenchPage.java,org.eclipse.ui.internal.WorkbenchPage,openEditor,,NullPointerException,,,,,TransformerManager.java,,runCommand
AspectJ,108062,OpenLogEntryAction.java,org.eclipse.team.internal.ccvs.ui.actions.OpenLogEntryAction$1,run,,NullPointerException,,,,,InstrumentationImpl.java,,run
AspectJ,108062,RepositoryManager.java,org.eclipse.team.internal.ccvs.ui.repo.RepositoryManager,run,,NullPointerException,,,,,Native Method,,runMain
AspectJ,108062,CVSAction.java,org.eclipse.team.internal.ccvs.ui.actions.CVSAction$2,run,,NullPointerException,,,,,ClassLoader.java,,main
AspectJ,108062,OpenLogEntryAction.java,org.eclipse.team.internal.ccvs.ui.actions.OpenLogEntryAction,execute,,NullPointerException,,,,,URLClassLoader.java,,readClassInfo
AspectJ,108062,HistoryView.java,org.eclipse.team.internal.ccvs.ui.HistoryView$6,handleEvent,,NullPointerException,,,,,URLClassLoader.java,,parse
AspectJ,108062,EventTable.java,org.eclipse.swt.widgets.EventTable,sendEvent,,NullPointerException,,,,,Native Method,,makeJavaClass
AspectJ,108062,Widget.java,org.eclipse.swt.widgets.Widget,sendEvent,,NullPointerException,,,,,Launcher.java,,getJavaClass
AspectJ,108062,Display.java,org.eclipse.swt.widgets.Display,runDeferredEvents,,NullPointerException,,,,,Test.java,,getClassName
AspectJ,108062,Display.java,org.eclipse.swt.widgets.Display,readAndDispatch,,NullPointerException,,,,,Test.java,,noteResult
AspectJ,108062,Workbench.java,org.eclipse.ui.internal.Workbench,runEventLoop,,NullPointerException,,,,,AppMain.java,,acceptResult
AspectJ,108062,Workbench.java,org.eclipse.ui.internal.Workbench,runUI,,NullPointerException,,,,,World.java,,afterProcessing
AspectJ,108062,Workbench.java,org.eclipse.ui.internal.Workbench,createAndRunWorkbench,,NullPointerException,,,,,Member.java,,ajc$afterReturning$org_aspectj_ajdt_internal_compiler_CompilerAdapter$4$6b855184
AspectJ,108062,PlatformUI.java,org.eclipse.ui.PlatformUI,createAndRunWorkbench,,NullPointerException,,,,,KindedPointcut.java,,process
AspectJ,108062,IDEApplication.java,org.eclipse.ui.internal.ide.IDEApplication,run,,NullPointerException,,,,,OrPointcut.java,,readConstant
AspectJ,108062,PlatformActivator.java,org.eclipse.core.internal.runtime.PlatformActivator$1,run,,NullPointerException,,,,,Test.java,,<init>
AspectJ,108062,EclipseStarter.java,org.eclipse.core.runtime.adaptor.EclipseStarter,run,,NullPointerException,,,,,IfPointcut.java,,readConstantPool
AspectJ,108062,Native Method,sun.reflect.NativeMethodAccessorImpl,invoke0,,NullPointerException,,,,,ExactTypePattern.java,,addClassFile
AspectJ,108062,NativeMethodAccessorImpl.java,sun.reflect.NativeMethodAccessorImpl,invoke,,NullPointerException,,,,,TypePatternList.java,,initBcelWorld
AspectJ,108062,DelegatingMethodAccessorImpl.java,sun.reflect.DelegatingMethodAccessorImpl,invoke,,NullPointerException,,,,,DeclareParents.java,,runWeaver
AspectJ,108062,Method.java,java.lang.reflect.Method,invoke,,NullPointerException,,,,,CrosscuttingMembersSet.java,,instrumentClasses
AspectJ,108062,Main.java,org.eclipse.core.launcher.Main,invokeFramework,,NullPointerException,,,,,Assert.java,,instrumentApplication
AspectJ,108062,Main.java,org.eclipse.core.launcher.Main,basicRun,,NullPointerException,,,,,MessageWriter.java,,instrument
AspectJ,108062,Main.java,org.eclipse.core.launcher.Main,run,,NullPointerException,,,,,WeavingAdaptor.java,,main
AspectJ,108062,Main.java,org.eclipse.core.launcher.Main,main,,NullPointerException,,,,,Native Method,,typeOfSignature
AspectJ,108816,BcelVar.java,org.aspectj.weaver.bcel.BcelVar,appendConvertableArrayStore,,NullPointerException,,,,,Class.java,,getTypeInternal
AspectJ,108816,BcelShadow.java,org.aspectj.weaver.bcel.BcelShadow,weaveCflowEntry,,NullPointerException,,,,,AjcTestCase.java,,getType
AspectJ,108816,BcelAdvice.java,org.aspectj.weaver.bcel.BcelAdvice,implementOn,,NullPointerException,,,,,RunSpec.java,,makeBcelType
AspectJ,108816,Shadow.java,org.aspectj.weaver.Shadow,implementMungers,,NullPointerException,,,,,AjcTest.java,,createMethodGen
AspectJ,108816,Shadow.java,org.aspectj.weaver.Shadow,implement,,NullPointerException,,,,,XMLBasedAjcTestCase.java,,extractMethod
AspectJ,108816,BcelClassWeaver.java,org.aspectj.weaver.bcel.BcelClassWeaver,implement,,NullPointerException,,,,,Ajc150Tests.java,,weaveAroundInline
AspectJ,108816,BcelClassWeaver.java,org.aspectj.weaver.bcel.BcelClassWeaver,weave,,NullPointerException,,,,,TestCase.java,,initializeBounds
AspectJ,108816,BcelWeaver.java,org.aspectj.weaver.bcel.BcelWeaver,weave,,NullPointerException,,,,,TestResult.java,,capture
AspectJ,108816,BcelWeaver.java,org.aspectj.weaver.bcel.BcelWeaver,weaveWithoutDump,,NullPointerException,,,,,TestResult.java,,resolveType
AspectJ,108816,BcelWeaver.java,org.aspectj.weaver.bcel.BcelWeaver,weaveAndNotify,,NullPointerException,,,,,RemoteTestRunner.java,,resolveType
AspectJ,108816,AjCompilerAdapter.java,org.aspectj.ajdt.internal.compiler.AjCompilerAdapter,weave,,NullPointerException,,,,,Native Method,,resolve
