Bug ID,Commit Files
CASSANDRA-10797,"* 0e63000c3fd0029e5b620a7923ea2ac54771e8e9 Reduce heap spent when receiving many SSTables
  CHANGES.txt
  src/java/org/apache/cassandra/streaming/StreamReceiveTask.java
  test/unit/org/apache/cassandra/io/sstable/SSTableRewriterTest.java
  test/unit/org/apache/cassandra/io/sstable/SSTableWriterTest.java
  test/unit/org/apache/cassandra/io/sstable/SSTableWriterTestBase.java"
CASSANDRA-10822,"* 71bac92cf1df08de194a8283f382a7950b3a78ed Fix missing row data after range tombstone in legacy data
  CHANGES.txt
  src/java/org/apache/cassandra/db/UnfilteredDeserializer.java
  src/java/org/apache/cassandra/db/compaction/CompactionManager.java"
CASSANDRA-10903,"* 8bc567b3ca40199f6d4a7b6f32971f2fea56a6b9 Fix assertion error when reading static on an indexed sstable
  CHANGES.txt
  src/java/org/apache/cassandra/db/columniterator/AbstractSSTableIterator.java
  src/java/org/apache/cassandra/db/columniterator/SSTableIterator.java
  src/java/org/apache/cassandra/db/columniterator/SSTableReversedIterator.java
  test/unit/org/apache/cassandra/cql3/QueryWithIndexedSSTableTest.java"
CASSANDRA-10909,"* 98cc2c8d6cc27f1a2e675030a13b46fd336812f8 Avoid NPE on incremental repair failure
  CHANGES.txt
  src/java/org/apache/cassandra/service/ActiveRepairService.java"
CASSANDRA-10943,"* 1a1f836f20ba4bf1c263d4fd3c32338e55abbcbc Fix rare NPE on schema upgrade from 2.x to 3.x
  CHANGES.txt
  src/java/org/apache/cassandra/schema/LegacySchemaMigrator.java"
CASSANDRA-10944,"* 1d7bacc45fa1cd6cac36d7f9ece30ba1ed430f2a Fix potential assertion error during compaction
  CHANGES.txt
  src/java/org/apache/cassandra/db/ReadCommand.java
  src/java/org/apache/cassandra/db/compaction/CompactionIterator.java
  src/java/org/apache/cassandra/db/partitions/PurgeFunction.java
  src/java/org/apache/cassandra/db/rows/BufferCell.java
  test/unit/org/apache/cassandra/db/compaction/TTLExpiryTest.java"
CASSANDRA-10954,"* 4c7b06b0a87f88bfaff5d55e6b302a25e0391f57 Properly pass CellPath when setting list element to null
  CHANGES.txt
  src/java/org/apache/cassandra/cql3/Lists.java
  test/unit/org/apache/cassandra/cql3/validation/entities/CollectionsTest.java"
CASSANDRA-10961,"* 58a0079c391d12dab97e036f05be070dfaddcc95 Revert CASSANDRA-10012 and add more loggings
  CHANGES.txt
  src/java/org/apache/cassandra/db/composites/AbstractCType.java
  src/java/org/apache/cassandra/streaming/ConnectionHandler.java
  src/java/org/apache/cassandra/streaming/StreamReader.java
  src/java/org/apache/cassandra/streaming/StreamWriter.java
  src/java/org/apache/cassandra/streaming/compress/CompressedInputStream.java
  src/java/org/apache/cassandra/streaming/compress/CompressedStreamReader.java
  src/java/org/apache/cassandra/streaming/compress/CompressedStreamWriter.java
  test/unit/org/apache/cassandra/streaming/compress/CompressedInputStreamTest.java
* 582bdba4b201e6ab8e2a9a05cff3566f1bab9dce Fix error streaming section more than 2GB
  CHANGES.txt
  src/java/org/apache/cassandra/db/composites/AbstractCType.java
  src/java/org/apache/cassandra/streaming/ConnectionHandler.java
  src/java/org/apache/cassandra/streaming/StreamReader.java
  src/java/org/apache/cassandra/streaming/StreamWriter.java
  src/java/org/apache/cassandra/streaming/compress/CompressedInputStream.java
  src/java/org/apache/cassandra/streaming/compress/CompressedStreamReader.java
  src/java/org/apache/cassandra/streaming/compress/CompressedStreamWriter.java
  test/unit/org/apache/cassandra/streaming/compress/CompressedInputStreamTest.java"
CASSANDRA-10988,"* c8d955533b6968368907e5b090a309ac57bf419f Fix slice queries on ordered COMPACT tables
  CHANGES.txt
  src/java/org/apache/cassandra/cql3/statements/SelectStatement.java
  test/unit/org/apache/cassandra/cql3/validation/operations/SelectMultiColumnRelationTest.java
  test/unit/org/apache/cassandra/cql3/validation/operations/SelectTest.java"
CASSANDRA-10991,"* c00395155e2420002db493ca69784d0fe723b55d Better error message for cleanup
  CHANGES.txt
  src/java/org/apache/cassandra/db/compaction/CompactionManager.java"
CASSANDRA-10992,"* 76e3100ffb106cab3cc665404e293c1026e5e65c Fix hanging stream session
  CHANGES.txt
  src/java/org/apache/cassandra/config/Config.java
  src/java/org/apache/cassandra/config/DatabaseDescriptor.java
  src/java/org/apache/cassandra/streaming/StreamReader.java
  src/java/org/apache/cassandra/streaming/StreamSession.java
  src/java/org/apache/cassandra/streaming/compress/CompressedInputStream.java
  src/java/org/apache/cassandra/streaming/compress/CompressedStreamReader.java
  src/java/org/apache/cassandra/streaming/messages/IncomingFileMessage.java
  src/java/org/apache/cassandra/streaming/messages/RetryMessage.java
  src/java/org/apache/cassandra/utils/Throwables.java
  test/unit/org/apache/cassandra/streaming/compress/CompressedInputStreamTest.java"
CASSANDRA-11018,"* c1a113a9e3381d5278ca2254b0d0b062cfa7551b Check the column name, not cell name, for dropped columns
  CHANGES.txt
  src/java/org/apache/cassandra/db/LegacyLayout.java"
CASSANDRA-11021,"* c7cbde218de62aa47d9e942957ee4444bd9c7568 Don't try to index clustering values of static rows
  CHANGES.txt
  src/java/org/apache/cassandra/index/internal/CassandraIndex.java
  test/unit/org/apache/cassandra/cql3/validation/entities/SecondaryIndexTest.java"
CASSANDRA-11050,"* c230ec9ed07b9077ce8422bce8db4e94d5b644cb Include DROPPED_COLUMNS in schema digest computation.
  CHANGES.txt
  src/java/org/apache/cassandra/schema/SchemaKeyspace.java
* 2a824c024a153a4a43f79992dc5ec549daf770ab Flush dropped_columns when flushing schema
  CHANGES.txt
  src/java/org/apache/cassandra/schema/SchemaKeyspace.java
* b214722770113398d22c6c00d46ce0510d868ff9 Flush dropped_columns when flushing schema
  CHANGES.txt
  src/java/org/apache/cassandra/schema/SchemaKeyspace.java"
CASSANDRA-11062,"* a20a0f724bee67ccf010cfbb72dbc1f90a1d5b4a CASSANDRA-11062 follow-up
  src/java/org/apache/cassandra/service/StorageService.java
* 0a1cfaaceade1317e9fc802d77e39371e745dee3 Configurie BatchlogManager to stop delayed tasks on shutdown
  CHANGES.txt
  src/java/org/apache/cassandra/batchlog/BatchlogManager.java"
CASSANDRA-11064,"* c6ed2e0bb30b9e96764858b93bd2021d195be510 Failed aggregate creation breaks server permanently
  CHANGES.txt
  src/java/org/apache/cassandra/cql3/CQL3Type.java
  src/java/org/apache/cassandra/cql3/Constants.java
  src/java/org/apache/cassandra/cql3/statements/CreateAggregateStatement.java
  src/java/org/apache/cassandra/schema/SchemaKeyspace.java
  src/java/org/apache/cassandra/serializers/AbstractTextSerializer.java
  src/java/org/apache/cassandra/serializers/BytesSerializer.java
  src/java/org/apache/cassandra/serializers/TimestampSerializer.java
  src/java/org/apache/cassandra/serializers/TypeSerializer.java
  test/unit/org/apache/cassandra/cql3/CQL3TypeLiteralTest.java
  test/unit/org/apache/cassandra/cql3/validation/operations/AggregationTest.java"
CASSANDRA-11065,"* 37680ee4e2a1b129900ff3c58b153e5a7661b757 Check keyspace existence on RepairMessageVerbHandler
  CHANGES.txt
  src/java/org/apache/cassandra/db/ColumnFamilyStore.java
  src/java/org/apache/cassandra/repair/RepairMessageVerbHandler.java"
CASSANDRA-11069,"* 9961b6991130ec4bedaf6fdfd8562229b52be7f0 MV should only query complex columns included in the view
  CHANGES.txt
  src/java/org/apache/cassandra/db/view/View.java
  test/unit/org/apache/cassandra/cql3/ViewTest.java"
CASSANDRA-11117,"* 7232d72c0f375f8034b506d05278bf8ec975a36a Limit colUpdateTimeDelta histogram updates to reasonable deltas
  CHANGES.txt
  src/java/org/apache/cassandra/db/ColumnFamilyStore.java
  test/unit/org/apache/cassandra/db/ColumnFamilyMetricTest.java"
CASSANDRA-11126,"* 5847222d9b2428c201a534876f86a0ec6f6f436f Fix backward compatibility issues on SELECT DISTINCT queries
  CHANGES.txt
  src/java/org/apache/cassandra/db/ReadCommand.java
  src/java/org/apache/cassandra/service/pager/PagingState.java"
CASSANDRA-11127,"* 6f236c801be5b80fe18afc3ecebd4032c19b434d Remove unneeded summary repair from CASSANDRA-8993
  CHANGES.txt
  src/java/org/apache/cassandra/io/sstable/format/SSTableReader.java"
CASSANDRA-11158,"* fe37e0644ccb831dda0a7d11a31b02e0ad8232fa Fix ClusteringPrefix not being able to read tombstone range boundaries.
  CHANGES.txt
  src/java/org/apache/cassandra/db/ClusteringPrefix.java
  src/java/org/apache/cassandra/db/RangeTombstone.java
  test/unit/org/apache/cassandra/cql3/QueryWithIndexedSSTableTest.java
  test/unit/org/apache/cassandra/cql3/TombstonesWithIndexedSSTableTest.java"
CASSANDRA-11167,"* 50095947e25f630ce48ee24d10ff3e1f3fd91183 Avoid NPE when serializing ErrorMessage with null msg
  CHANGES.txt
  src/java/org/apache/cassandra/transport/messages/ErrorMessage.java
  test/unit/org/apache/cassandra/transport/ProtocolErrorTest.java"
CASSANDRA-11169,"* 27ac6a836228d66c32ade3c7ba9da3483ff31f27 add SASI validation for partitioner and complex columns
  CHANGES.txt
  src/java/org/apache/cassandra/index/sasi/SASIIndex.java"
CASSANDRA-11172,"* 67637d1bbaf638162b479ed33a75e4ab3fb06e49 Only notify if the repaired status actually changed
  CHANGES.txt
  src/java/org/apache/cassandra/db/compaction/CompactionManager.java"
CASSANDRA-11193,"* df37bcb7cba75c3da35e585726c90ad90a454d48 Add asm jar to build.xml for maven builds
  CHANGES.txt
  build.xml"
CASSANDRA-11196,"* 11b7dc113ff5f73b1bbf889f306ad2aa72d01160 Fix intra-node serialization issue for multicolumn-restrictions
  CHANGES.txt
  src/java/org/apache/cassandra/cql3/restrictions/PrimaryKeyRestrictionSet.java
  test/unit/org/apache/cassandra/cql3/restrictions/PrimaryKeyRestrictionSetTest.java"
CASSANDRA-1122,"* 1631beed8c4f4052771f725d114e1ae9d618fc4f CFMeta.subcolumncomparator should default to BytesType if cftype==Super. patch by gdusbabek, reviewed by jbellis. CASSANDRA-1122
  src/java/org/apache/cassandra/config/CFMetaData.java
  test/system/test_thrift_server.py"
CASSANDRA-11272,"* f463fed234ce5bd9c536ac5fdf51c3555b9af805 Avoid calls to `getCause` on `Throwable` as it might result into NPE
  src/java/org/apache/cassandra/service/StorageService.java"
CASSANDRA-11275,"* 19bccb4eaea7a6b33b72bb55e6923206526009e8 Fix sstableloader fail when using materialized view
  CHANGES.txt
  src/java/org/apache/cassandra/utils/NativeSSTableLoaderClient.java"
CASSANDRA-11286,"* 561000aa3094699bab29766d9644ff50f6cb74f3 Fix streaming_socket_timeout_in_ms not enforced
  CHANGES.txt
  conf/cassandra.yaml
  src/java/org/apache/cassandra/net/IncomingStreamingConnection.java
  src/java/org/apache/cassandra/streaming/ConnectionHandler.java
  src/java/org/apache/cassandra/streaming/StreamSession.java"
CASSANDRA-1130,"* 5531a7f5db05adad04d393b4ccffb6d87d806ec9 fix race condition in SSTable*Iterator. patch by Sylvain Lebresne; reviewed by jbellis for CASSANDRA-1130
  src/java/org/apache/cassandra/db/filter/SSTableNamesIterator.java
  src/java/org/apache/cassandra/db/filter/SSTableSliceIterator.java
  src/java/org/apache/cassandra/io/sstable/IndexHelper.java
  src/java/org/apache/cassandra/io/util/BufferedRandomAccessFile.java
  src/java/org/apache/cassandra/io/util/FileDataInput.java
  src/java/org/apache/cassandra/io/util/FileMark.java
  src/java/org/apache/cassandra/io/util/MappedFileDataInput.java
  test/unit/org/apache/cassandra/db/RowIterationTest.java"
CASSANDRA-11304,"* d0b7a02b230f65a3ba2665a8327b6e6cc585dde9 Replace recursion with iteration in CompositesSearcher
  CHANGES.txt
  src/java/org/apache/cassandra/index/internal/composites/CompositesSearcher.java"
CASSANDRA-11315,"* f37b6f145d3db2b14de38b2c75f390f7a3113c85 Fix upgrading sparse tables that are incorrectly marked as dense
  CHANGES.txt
  src/java/org/apache/cassandra/schema/LegacySchemaMigrator.java"
CASSANDRA-11345,"* 03985212644112d2751cdabc72bd954dda9ff3ba Release sstables of failed stream sessions only when outgoing transfers are finished
  CHANGES.txt
  src/java/org/apache/cassandra/streaming/StreamSession.java
  src/java/org/apache/cassandra/streaming/StreamTransferTask.java
  src/java/org/apache/cassandra/streaming/messages/FileMessageHeader.java
  src/java/org/apache/cassandra/streaming/messages/OutgoingFileMessage.java
  test/unit/org/apache/cassandra/streaming/StreamTransferTaskTest.java"
CASSANDRA-11353,"* 11da411fb62b0d6bc32d9119dd8548d94f88021f Fix potential assertion error during compaction on trunk
  CHANGES.txt
  src/java/org/apache/cassandra/db/ReadCommand.java
  src/java/org/apache/cassandra/db/compaction/CompactionIterator.java
  src/java/org/apache/cassandra/db/partitions/PurgeFunction.java
  src/java/org/apache/cassandra/db/rows/AbstractCell.java
  test/unit/org/apache/cassandra/db/compaction/TTLExpiryTest.java
* d3f4ae8428f0045b04a9395dbb201d59d18757ac Fix potential assertion error during compaction on trunk
  CHANGES.txt
  src/java/org/apache/cassandra/db/ReadCommand.java
  src/java/org/apache/cassandra/db/compaction/CompactionIterator.java
  src/java/org/apache/cassandra/db/partitions/PurgeFunction.java
  src/java/org/apache/cassandra/db/rows/AbstractCell.java
  test/unit/org/apache/cassandra/db/compaction/TTLExpiryTest.java"
CASSANDRA-11381,"* f49579df38121f88107531307437b447a7438cda Node running with join_ring=false and authentication can not serve requests
  CHANGES.txt
  src/java/org/apache/cassandra/auth/CassandraRoleManager.java
  src/java/org/apache/cassandra/service/StorageService.java"
CASSANDRA-11383,"* 5c4d5c731f1299ba310c81603914a1a8956e644c Avoid index segment stitching in RAM which lead to OOM on big SSTable files
  CHANGES.txt
  src/java/org/apache/cassandra/index/sasi/disk/AbstractTokenTreeBuilder.java
  src/java/org/apache/cassandra/index/sasi/disk/DynamicTokenTreeBuilder.java
  src/java/org/apache/cassandra/index/sasi/disk/OnDiskIndexBuilder.java
  src/java/org/apache/cassandra/index/sasi/disk/PerSSTableIndexWriter.java
  src/java/org/apache/cassandra/index/sasi/disk/StaticTokenTreeBuilder.java
  src/java/org/apache/cassandra/index/sasi/disk/Token.java
  src/java/org/apache/cassandra/index/sasi/disk/TokenTree.java
  src/java/org/apache/cassandra/index/sasi/disk/TokenTreeBuilder.java
  src/java/org/apache/cassandra/index/sasi/memory/KeyRangeIterator.java
  src/java/org/apache/cassandra/index/sasi/sa/SuffixSA.java
  src/java/org/apache/cassandra/index/sasi/utils/CombinedTerm.java
  test/unit/org/apache/cassandra/index/sasi/disk/OnDiskIndexTest.java
  test/unit/org/apache/cassandra/index/sasi/disk/PerSSTableIndexWriterTest.java
  test/unit/org/apache/cassandra/index/sasi/disk/TokenTreeTest.java
  test/unit/org/apache/cassandra/index/sasi/utils/LongIterator.java"
CASSANDRA-11393,"* fbd287ad2ed09190dd9c6e152b82215e81020847 Wait until the message is being send to decide which serializer must be used
  CHANGES.txt
  src/java/org/apache/cassandra/config/DatabaseDescriptor.java
  src/java/org/apache/cassandra/db/PartitionRangeReadCommand.java
  src/java/org/apache/cassandra/db/ReadCommand.java
  src/java/org/apache/cassandra/db/ReadResponse.java
  src/java/org/apache/cassandra/db/SinglePartitionReadCommand.java
  src/java/org/apache/cassandra/io/ForwardingVersionedSerializer.java
  src/java/org/apache/cassandra/net/MessagingService.java"
CASSANDRA-114,"* ec291721ddeb66c88ba2d86d45ee27de84013e95 add string de/serialize code to TokenFactory for ApplicationState's benefit. patch by jbellis; tested by nk11 and MarkR42 for CASSANDRA-114
  src/java/org/apache/cassandra/dht/OrderPreservingPartitioner.java
  src/java/org/apache/cassandra/dht/RandomPartitioner.java
  src/java/org/apache/cassandra/dht/Token.java
  src/java/org/apache/cassandra/service/HttpRequestVerbHandler.java
  src/java/org/apache/cassandra/service/StorageService.java"
CASSANDRA-11414,"* 00e7ecf1394f8704e2f13369f7950e129459ce2c Improve streaming synchronization and fault tolerance
  CHANGES.txt
  src/java/org/apache/cassandra/streaming/ConnectionHandler.java
  src/java/org/apache/cassandra/streaming/StreamReceiveTask.java"
CASSANDRA-11415,"* 105fbb35db228aa47b7de079795d61e748ed8abc Backport CASSANDRA-10859
  CHANGES.txt
  src/java/org/apache/cassandra/tools/NodeProbe.java
  src/java/org/apache/cassandra/utils/EstimatedHistogram.java"
CASSANDRA-11470,"* 063b37614442b3184342a04c50c7961d1777e13b LogAwareFileLister should only use OLD sstable files in current folder to determine disk consistency
  CHANGES.txt
  src/java/org/apache/cassandra/db/lifecycle/LogAwareFileLister.java
  src/java/org/apache/cassandra/db/lifecycle/LogFile.java
  src/java/org/apache/cassandra/db/lifecycle/LogRecord.java
  test/unit/org/apache/cassandra/db/lifecycle/LogTransactionTest.java"
CASSANDRA-11485,"* ce445991fab05d2ba404f6289796664dd581662a ArithmeticException in avgFunctionForDecimal
  CHANGES.txt
  src/java/org/apache/cassandra/cql3/functions/AggregateFcts.java
  test/unit/org/apache/cassandra/cql3/validation/operations/AggregationTest.java"
CASSANDRA-11523,"* 14f08e6f66ef96614fccd12d1eac482c00ee7dc5 Add indexed column to column filter in KeysSearcher
  CHANGES.txt
  src/java/org/apache/cassandra/index/internal/keys/KeysSearcher.java"
CASSANDRA-11525,"* 020dd2d1034abc5c729edf1975953614b33c5a8b StaticTokenTreeBuilder should respect posibility of duplicate tokens
  CHANGES.txt
  src/java/org/apache/cassandra/index/sasi/disk/AbstractTokenTreeBuilder.java
  src/java/org/apache/cassandra/index/sasi/disk/StaticTokenTreeBuilder.java
  src/java/org/apache/cassandra/index/sasi/disk/TokenTree.java
  test/unit/org/apache/cassandra/index/sasi/disk/TokenTreeTest.java"
CASSANDRA-11540,"* 93c5bc616e21ffa7f31266ad095ca374f2ba73a4 Avoid starting Cassandra on JMX bind failure
  CHANGES.txt
  src/java/org/apache/cassandra/service/CassandraDaemon.java"
CASSANDRA-11604,"* 0d5984b9dbd54a42fbbe6a71a045b13a612208b6 Allow updating UDT nested in non-frozen map after ALTERing the UDT
  src/java/org/apache/cassandra/db/rows/ComplexColumnData.java
  test/unit/org/apache/cassandra/cql3/validation/entities/UserTypesTest.java"
CASSANDRA-11609,"* d62b2cf7c77b01723c4d312bcc249c91a73b4e45 Freeze implicitly frozen types in 2.x -> 3.x schema migration
  src/java/org/apache/cassandra/db/marshal/AbstractType.java
  src/java/org/apache/cassandra/db/marshal/ListType.java
  src/java/org/apache/cassandra/db/marshal/MapType.java
  src/java/org/apache/cassandra/db/marshal/SetType.java
  src/java/org/apache/cassandra/db/marshal/UserType.java
  src/java/org/apache/cassandra/schema/LegacySchemaMigrator.java"
CASSANDRA-11613,"* dee84ccc59bc5ce76e568bf94ab70c772c079041 Freeze UDTs and nested UDTs/collections during schema upgrade
  CHANGES.txt
  src/java/org/apache/cassandra/db/marshal/AbstractType.java
  src/java/org/apache/cassandra/db/marshal/ListType.java
  src/java/org/apache/cassandra/db/marshal/MapType.java
  src/java/org/apache/cassandra/db/marshal/SetType.java
  src/java/org/apache/cassandra/db/marshal/UserType.java
  src/java/org/apache/cassandra/schema/LegacySchemaMigrator.java"
CASSANDRA-11615,"* 06870372d0e144bb0dd7f567f2efeca1dc996080 Update java driver
  CHANGES.txt
  build.xml
  lib/cassandra-driver-core-3.0.1-shaded.jar
  lib/licenses/cassandra-driver-3.0.1.txt"
CASSANDRA-11621,"* 3244774572c56400ed96da4d57912779878c16e5 Avoid possible stack overflow in ModificationStatement::getFunctions
  CHANGES.txt
  src/java/org/apache/cassandra/cql3/statements/ModificationStatement.java"
CASSANDRA-11629,"* c08eeafdcfe4b5d0fb1a8aa34ca5df27be7934ce Add support for filtering on counter columns
  CHANGES.txt
  src/java/org/apache/cassandra/db/filter/RowFilter.java
  test/unit/org/apache/cassandra/cql3/validation/entities/CountersTest.java"
CASSANDRA-11670,"* 88d47911dd9f590a335af7429b128ffc726dc5ff Skip writing MV mutations to commitlog on mutation.applyUnsafe()
  CHANGES.txt
  src/java/org/apache/cassandra/db/Keyspace.java"
CASSANDRA-11710,"* 31cab36b1800f2042623633445d8be944217d5a2 Prevent direct memory OOM on buffer pool allocations
  CHANGES.txt
  src/java/org/apache/cassandra/config/Config.java
  src/java/org/apache/cassandra/config/DatabaseDescriptor.java
  src/java/org/apache/cassandra/utils/memory/BufferPool.java"
CASSANDRA-11711,"* a5dac1298b7cc899e9d1a327f15b31a94e1ce283 Make testJsonThreadSafety less likely to time out
  test/unit/org/apache/cassandra/cql3/validation/entities/JsonTest.java"
CASSANDRA-11726,"* ee609411a8e154255812b157788a79bbdf076566 Fix value skipping with counter columns
  CHANGES.txt
  src/java/org/apache/cassandra/db/Conflicts.java
  test/unit/org/apache/cassandra/cql3/validation/entities/CountersTest.java"
CASSANDRA-11736,"* 640072b093ac7040a28ca932034e905935357ead Use re-initialised headers for ColumnIndex for pre-3.0 sstables
  src/java/org/apache/cassandra/io/sstable/format/big/BigTableWriter.java"
CASSANDRA-11749,"* 68319f7c3be232a58e68ca91206283076aa3dedb cqlsh COPY FROM: shutdown parent cluster after forking, to avoid corrupting SSL connections
  CHANGES.txt
  pylib/cqlshlib/copyutil.py"
CASSANDRA-11750,"* b851792c4e3ae32b8d863d9079cca6d135f1cf23 Backport CASSANDRA-11578
  CHANGES.txt
  src/java/org/apache/cassandra/io/FSErrorHandler.java
  src/java/org/apache/cassandra/io/util/FileUtils.java
  src/java/org/apache/cassandra/service/CassandraDaemon.java
  src/java/org/apache/cassandra/service/DefaultFSErrorHandler.java
  test/unit/org/apache/cassandra/db/DirectoriesTest.java"
CASSANDRA-11763,"* 8d22d9fd1842c59ea65a3793aceb5a78c5852351 Failure to read non-shallow pre-3.0 sstable index entries
  CHANGES.txt
  src/java/org/apache/cassandra/db/RowIndexEntry.java
  test/unit/org/apache/cassandra/io/sstable/LegacySSTableTest.java"
CASSANDRA-11765,"* 5a7ff5e32312426b63d9a8a5dc7fd58fa2ffb8ce Support multiple folders for user defined compaction tasks
  CHANGES.txt
  src/java/org/apache/cassandra/db/compaction/CompactionManager.java
  src/java/org/apache/cassandra/db/compaction/CompactionStrategyManager.java
  test/unit/org/apache/cassandra/Util.java
  test/unit/org/apache/cassandra/db/compaction/CompactionsPurgeTest.java"
CASSANDRA-1179,"* 1a6b938becde3b0e59f75b58c1317f5865aded6a split commitlog header into separate file and add size checksum to mutations.  patch by mdennis and jbellis for CASSANDRA-1179
  CHANGES.txt
  src/java/org/apache/cassandra/config/DatabaseDescriptor.java
  src/java/org/apache/cassandra/db/commitlog/CommitLog.java
  src/java/org/apache/cassandra/db/commitlog/CommitLogHeader.java
  src/java/org/apache/cassandra/db/commitlog/CommitLogSegment.java
  test/unit/org/apache/cassandra/CleanupHelper.java
  test/unit/org/apache/cassandra/db/CommitLogTest.java
  test/unit/org/apache/cassandra/db/RecoveryManager3Test.java
  test/unit/org/apache/cassandra/db/RecoveryManagerTest.java
  test/unit/org/apache/cassandra/db/commitlog/CommitLogHeaderTest.java"
